Elapsed Time (s),Hot(C),Cold(C),Tset(C),Voltage(V)
296.6030357,30.62,10,10,4.23
297.1506376,30.62,10,10,4.27
297.5876114,30.62,10,10,4.19
298.1361048,30.62,10,10,4.28
298.5732508,30.62,10,10,4.34
299.1208179,30.62,10,10,4.23
299.6656401,30.62,10,10,4.25
300.10023,30.62,10,10,4.2
300.6457665,30.62,10,10,4.19
301.0826707,30.62,10,10,4.25
301.6292832,30.62,10,10,4.22
302.1738565,30.62,10,10,4.23
302.6095665,30.62,10,10,4.42
303.1547887,30.2,10,10,4.24
303.5914347,30.62,10,10,4.32
304.1361587,30.62,10,10,4.26
304.6821535,30.62,10,10,4.25
305.1198306,30.62,10,10,411
305.6698077,30.62,10,10,4.3
306.104543,30.62,10,10,4.24
306.6496148,30.62,10,10,4.26
307.1944721,30.62,10,10,4.26
307.629144,30.62,10,10,4.23
308.1745384,30.56,10,10,4.39
308.6118214,30.56,10,10,4.24
309.1567719,30.56,10,10,4.24
309.7006831,30.56,10,10,4.27
310.2437346,30.56,10,20,4.36
310.6809001,30.56,10,20,1.45
311.1173944,30.56,10,20,1.34
311.6645105,30.56,10.13,20,1.21
312.099956,30.56,10.25,20,1.19
312.6457658,30.56,10.25,20,1.09
313.1938374,30.56,10.63,20,1.02
313.6328034,30.5,10.88,20,1.04
314.1870809,30.5,11.13,20,1.02
314.6265206,30.44,11.38,20,1.03
315.1784632,30.44,11.75,20,0.96
315.6206312,30.37,11.88,20,0.96
316.1659505,30.37,12.31,20,0.93
316.7132275,30.37,12.44,20,0.93
317.1511691,30.37,12.75,20,0.88
317.6921268,30.37,12.75,20,1
318.1292615,30.37,13.06,20,0.97
318.6703892,30.37,13.25,20,1.24
319.2163854,30.37,13.5,20,1.29
319.6521304,30.37,13.81,20,1.46
320.1972547,30.37,13.94,20,1.48
320.634815,30.31,14.13,20,1.59
321.1841881,30.31,14.38,20,1.65
321.7364547,30.31,14.5,20,1.74
322.1720467,30.31,14.63,20,1.8
322.7181985,30.31,14.63,20,1.76
323.157903,30.31,14.75,20,1.82
323.7086525,30.31,14.81,20,1.84
324.1455581,30.31,14.94,20,1.86
324.6958816,30.31,15.06,20,1.84
325.1397116,30.31,15.06,20,1.98
325.6927762,30.31,15.25,20,2.02
326.243763,30.31,15.25,20,1.84
326.6892214,30.31,15.31,20,1.93
327.2393086,30.31,15.38,20,1.9
327.6793439,30.31,15.38,20,1.92
328.2199862,30.31,15.44,20,1.98
329.6931992,30.31,15.63,20,1.85
330.2391324,30.31,15.63,20,1.98
330.6736586,30.31,15.75,20,1.97
331.2210796,30.31,15.75,20,2.06
331.6578777,30.31,15.75,20,1.97
332.2054069,30.31,15.88,20,2.02
332.7511466,30.31,15.88,20,1.98
333.187413,30.31,15.94,20,1.99
333.7365251,30.31,15.94,20,1.95
334.1800084,30.31,15.94,20,1.96
334.730197,30.31,16,20,2
335.1703997,30.31,16.06,20,2.02
335.7147443,30.31,16.06,20,1.99
336.2570798,30.31,16.19,20,1.84
336.6933019,30.31,16.19,20,2.07
337.2402594,30.31,16.19,20,2.02
337.7804847,30.31,16.19,20,1.97
338.2173469,30.31,16.25,20,2.21
338.7622466,30.31,16.31,20,1.99
339.1957691,30.31,16.31,20,1.94
339.7386491,30.31,16.37,20,1.99
340.2841747,30.31,16.37,20,2
340.7219381,30.31,16.44,20,2.04
341.2666886,30.31,16.44,20,1.96
341.7017391,30.31,16.44,20,2
342.2456949,30.31,16.5,20,1.85
342.7903268,30.31,16.5,20,2.05
343.2253149,30.31,16.56,20,1.95
343.7682602,30.31,16.56,20,2.05
344.2050381,30.31,16.62,20,2.06
344.7509832,30.31,16.62,20,1.93
345.2980671,30.31,16.62,20,1.96
345.7353098,30.3,16.62,20,1.92
346.2980244,30.31,16.75,20,2.01
346.736088,30.31,16.75,20,1.96
347.2948735,30.31,16.81,20,2.01
347.7310116,30.31,16.81,20,1.98
348.2755165,30.31,16.81,20,1.97
348.7124949,30.31,16.81,20,1.95
349.25559,30.31,16.87,20,1.96
349.804683,30.31,16.87,20,1.91
350.2399089,30.31,16.94,20,2.01
351.2253115,30.31,17,20,2.03
351.7713711,30.31,17.06,20,2.06
352.3144233,30.31,17.06,20,1.99
352.7516201,30.31,17.06,20,2
353.2962549,30.31,17.06,20,1.98
353.7352066,30.31,17.06,20,1.91
354.2807808,30.31,17.12,20,1.72
